produkt,kategoria,kcal_na_100g,bialko_g_na_100g,tluszcz_g_na_100g,weglowodany_g_na_100g
Bułka grahamka,Pieczywo i produkty zbożowe,260,9.0,3.0,49.0
Bułka kajzerka,Pieczywo i produkty zbożowe,293,8.5,3.5,56.0
Chleb graham,Pieczywo i produkty zbożowe,250,8.5,2.0,49.0
Chleb pełnoziarnisty,Pieczywo i produkty zbożowe,278,8.4,5.4,51.4
Chleb żytni,Pieczywo i produkty zbożowe,259,8.5,3.3,48.3
Kasza bulgur,Pieczywo i produkty zbożowe,342,12.3,1.3,75.9
Makaron farfalle,Pieczywo i produkty zbożowe,371,13.0,1.5,75.0
Makaron pszenny,Pieczywo i produkty zbożowe,371,13.0,1.5,75.0
Makaron ryżowy,Pieczywo i produkty zbożowe,364,5.9,0.6,80.2
Mąka pszenna,Pieczywo i produkty zbożowe,364,10.3,1.0,76.3
Mąka pszenna pełnoziarnista,Pieczywo i produkty zbożowe,340,13.2,2.5,72.0
Otręby owsiane,Pieczywo i produkty zbożowe,246,17.3,7.0,66.2
Płatki jaglane,Pieczywo i produkty zbożowe,378,11.0,4.2,73.0
Płatki orkiszowe,Pieczywo i produkty zbożowe,338,14.6,2.4,70.0
Płatki owsiane,Pieczywo i produkty zbożowe,389,16.9,6.9,66.3
Tortilla pełnoziarnista,Pieczywo i produkty zbożowe,290,8.5,7.0,48.0
Jajko,Nabiał i jaja,143,12.6,9.5,0.7
Jaja gotowane,Nabiał i jaja,155,12.6,10.6,1.1
Jogurt grecki,Nabiał i jaja,97,9.0,5.0,3.8
Jogurt naturalny,Nabiał i jaja,61,3.5,3.3,4.7
Jogurt naturalny 2%,Nabiał i jaja,60,4.3,2.0,6.2
Mleko 0%,Nabiał i jaja,34,3.4,0.1,5.0
Mleko 2%,Nabiał i jaja,50,3.3,2.0,4.8
Mozzarella light,Nabiał i jaja,180,22.0,9.0,2.0
Ser mozzarella,Nabiał i jaja,280,18.0,22.0,2.2
Parmezan,Nabiał i jaja,431,38.0,29.0,4.1
Ser ricotta,Nabiał i jaja,174,11.3,13.0,3.0
Serek homogenizowany naturalny,Nabiał i jaja,100,8.0,4.0,7.0
Serek wiejski,Nabiał i jaja,97,11.0,5.0,3.0
Serek wiejski lekki,Nabiał i jaja,72,12.0,1.5,3.0
Skyr,Nabiał i jaja,63,11.0,0.2,4.0
Twaróg chudy,Nabiał i jaja,99,19.8,0.5,3.5
Twaróg półtłusty,Nabiał i jaja,133,18.7,4.7,3.7
Awokado,"Warzywa, owoce, orzechy",160,2.0,14.7,8.5
Banan,"Warzywa, owoce, orzechy",89,1.1,0.3,22.8
Bazylia,"Warzywa, owoce, orzechy",23,3.2,0.6,2.7
Borówka,"Warzywa, owoce, orzechy",57,0.7,0.3,14.5
Brokuł świeży,"Warzywa, owoce, orzechy",34,2.8,0.4,6.6
Brokuły mrożone,"Warzywa, owoce, orzechy",26,2.8,0.3,4.8
Cebula,"Warzywa, owoce, orzechy",40,1.1,0.1,9.3
Cukinia,"Warzywa, owoce, orzechy",17,1.2,0.3,3.1
Czosnek surowy,"Warzywa, owoce, orzechy",149,6.4,0.5,33.1
Gruszka,"Warzywa, owoce, orzechy",57,0.4,0.1,15.2
Jabłko,"Warzywa, owoce, orzechy",52,0.3,0.2,13.8
Jarmuż,"Warzywa, owoce, orzechy",49,4.3,0.9,8.8
Jeżyna,"Warzywa, owoce, orzechy",43,1.4,0.5,9.6
Kokos wiórki,"Warzywa, owoce, orzechy",660,6.9,64.5,23.7
Malina,"Warzywa, owoce, orzechy",52,1.2,0.7,11.9
Marchew,"Warzywa, owoce, orzechy",41,0.9,0.2,9.6
Morela suszona,"Warzywa, owoce, orzechy",241,3.4,0.5,62.6
Nerkowiec,"Warzywa, owoce, orzechy",553,18.2,43.9,30.2
Ogórek,"Warzywa, owoce, orzechy",15,0.7,0.1,3.6
Ogórek kiszony,"Warzywa, owoce, orzechy",12,0.3,0.2,2.4
Ogórek małosolny,"Warzywa, owoce, orzechy",12,0.3,0.2,2.4
Orzech laskowy,"Warzywa, owoce, orzechy",628,15.0,60.8,16.7
Orzech pekan,"Warzywa, owoce, orzechy",691,9.2,72.0,13.9
Papryka czerwona słodka,"Warzywa, owoce, orzechy",31,1.0,0.3,6.0
Pietruszka,"Warzywa, owoce, orzechy",36,3.0,0.8,6.3
Pomarańcza,"Warzywa, owoce, orzechy",47,0.9,0.1,11.8
Pomidor czerwony,"Warzywa, owoce, orzechy",18,0.9,0.2,3.9
Pomidor koktajlowy,"Warzywa, owoce, orzechy",18,0.9,0.2,3.9
Pomidor w puszce,"Warzywa, owoce, orzechy",21,1.1,0.2,4.0
Pomidory w puszce kawałki,"Warzywa, owoce, orzechy",21,1.1,0.2,4.0
Porzeczki czerwone,"Warzywa, owoce, orzechy",56,1.4,0.2,13.8
Rukola,"Warzywa, owoce, orzechy",25,2.6,0.7,3.7
Rzodkiewka,"Warzywa, owoce, orzechy",16,0.7,0.1,3.4
Sałata lodowa,"Warzywa, owoce, orzechy",14,0.9,0.1,3.0
Sałata masłowa,"Warzywa, owoce, orzechy",13,1.4,0.2,2.2
Sałata rzymska,"Warzywa, owoce, orzechy",17,1.2,0.3,3.3
Sok z cytryny,"Warzywa, owoce, orzechy",22,0.4,0.2,6.9
Suszona żurawina,"Warzywa, owoce, orzechy",325,0.1,1.1,82.8
Szczypiorek,"Warzywa, owoce, orzechy",30,3.3,0.7,4.4
Truskawka,"Warzywa, owoce, orzechy",32,0.7,0.3,7.7
Winogron,"Warzywa, owoce, orzechy",69,0.7,0.2,18.1
Kurczak cały,Mięso i ryby,215,18.6,15.1,0.0
Pierś z indyka,Mięso i ryby,114,23.6,1.5,0.0
Pierś z kurczaka,Mięso i ryby,120,22.5,2.6,0.0
Szynka drobiowa,Mięso i ryby,110,18.0,3.5,1.5
Szynka wiejska,Mięso i ryby,250,17.0,19.0,1.0
Szynka z indyka,Mięso i ryby,105,18.0,2.5,2.0
Łosoś wędzony,Mięso i ryby,117,18.3,4.3,0.0
Curry,Przyprawy i dodatki,325,14.3,14.0,55.8
Cynamon mielony,Przyprawy i dodatki,247,4.0,1.2,80.6
Czekolada gorzka,Przyprawy i dodatki,546,4.9,31.0,61.0
Czekolada gorzka 70% kakao,Przyprawy i dodatki,598,7.8,42.6,45.9
Czosnek mielony,Przyprawy i dodatki,331,16.6,0.7,72.7
Ekstrakt waniliowy,Przyprawy i dodatki,288,0.1,0.1,12.7
Herbatniki kakaowe,Przyprawy i dodatki,480,6.5,19.0,70.0
Kakao w proszku odtłuszczone,Przyprawy i dodatki,228,19.6,13.7,57.9
Koncentrat pomidorowy 30%,Przyprawy i dodatki,82,4.3,0.5,19.0
Koper suszony,Przyprawy i dodatki,253,20.0,4.4,55.8
Ksylitol,Przyprawy i dodatki,240,0.0,0.0,100.0
Kukurydza w puszce,Przyprawy i dodatki,96,3.4,1.5,21.0
Majonez,Przyprawy i dodatki,680,1.0,75.0,1.0
Majonez light,Przyprawy i dodatki,300,1.0,30.0,8.0
Migdały,Przyprawy i dodatki,579,21.2,49.9,21.6
Miód,Przyprawy i dodatki,304,0.3,0.0,82.4
Musztarda,Przyprawy i dodatki,66,4.4,3.3,5.8
Olej kokosowy,Przyprawy i dodatki,892,0.0,99.1,0.0
Olej rzepakowy,Przyprawy i dodatki,884,0.0,100.0,0.0
Oliwa z oliwek,Przyprawy i dodatki,884,0.0,100.0,0.0
Orzechy włoskie,Przyprawy i dodatki,654,15.2,65.2,13.7
Papier ryżowy,Przyprawy i dodatki,329,5.8,0.6,74.0
Papryka mielona,Przyprawy i dodatki,282,14.1,12.9,54.0
Pasta migdałowa,Przyprawy i dodatki,614,21.0,56.0,19.0
Pasta orzechowa,Przyprawy i dodatki,588,25.1,50.4,20.0
Pasta orzechowa bez soli,Przyprawy i dodatki,588,25.1,50.4,20.0
Pieczarki,Przyprawy i dodatki,22,3.1,0.3,3.3
Pieprz czarny,Przyprawy i dodatki,251,10.4,3.3,64.0
Proszek do pieczenia,Przyprawy i dodatki,53,0.0,0.0,28.0
Płatki migdałowe,Przyprawy i dodatki,579,21.2,49.9,21.6
Syrop klonowy,Przyprawy i dodatki,260,0.0,0.1,67.0
Sól,Przyprawy i dodatki,0,0.0,0.0,0.0
Tortellini z szynką,Przyprawy i dodatki,270,10.0,8.0,39.0
Tymianek suszony,Przyprawy i dodatki,276,9.1,7.4,63.9
Zioła prowansalskie,Przyprawy i dodatki,250,9.0,7.0,45.0
Buraki tarte,Owoce i warzywa,42,1.7,0.1,9.6
Cytryna,Owoce i warzywa,29,1.1,0.3,9.0
Kapusta pekińska,Owoce i warzywa,13,1.2,0.2,2.2
Koper ogrodowy,Owoce i warzywa,43,3.5,1.1,7.0
Mieszanka warzywna mrożona,Owoce i warzywa,38,2.0,0.5,7.0
Truskawki mrożone,Owoce i warzywa,33,0.7,0.3,7.7
Ziemniaki,Owoce i warzywa,77,2.0,0.1,17.5
Kefir 1.5%,Nabiał i jaja,41,3.3,1.5,4.0
Ser edamski,Nabiał i jaja,333,25.0,25.0,1.4
Serek Goldessa light,Nabiał i jaja,120,11.0,7.0,4.0
Śmietana 12%,Nabiał i jaja,130,2.7,12.0,4.0
Mięso mielone z szynki,Mięso i wędliny,130,19.0,5.0,0.0
Mielony filet z indyka,Mięso i wędliny,120,22.0,3.0,0.0
Polędwica sopocka,Mięso i wędliny,130,22.0,4.5,0.5
